Year:year,Energy supply:number,Industry:number,Transport:number,Residential and commercial:number,Residential/commercial:number,Agriculture:number,Waste:number,International aviation:number,International shipping:number,Carbon dioxide from biomass:number,CO2 biomass:number,LULUCF:number,Total excl. LULUCF:number,"other (indirect CO2, 1A5 and other in sector 6):number","other (indirect CO2, 1A5 & other in sector 6):number",Graph:text,Year-2:textt
1990,1868672.938,1353316.251,793200.4205,,728513.9013,641656.102,240421.2098,69141.19088,110720.8253,,201086.6735,-244976.2409,5653747.344,27966.52167,,kt CO2 eq.,
1991,1822613.261,1278809.55,800395.1848,,779624.3906,609807.9874,244025.8484,68038.0238,109111.3627,,212397.4988,-268692.537,5559044.303,23768.08126,,kt CO2 eq.,
1992,1759561.598,1223263.561,823907.98,,725378.0585,584506.3898,246077.5114,73588.15851,110811.114,,210990.6727,-238637.9818,5383630.532,20935.43369,,kt CO2 eq.,
1993,1689244.293,1187343.148,828344.8219,,739145.7649,575393.7722,247040.621,77665.97465,111563.0701,,229512.9626,-236752.3502,5285246.56,18734.13871,,kt CO2 eq.,
1994,1685144.606,1213675.855,834888.5153,,691489.1127,568819.5703,246587.2861,81150.36434,111332.6426,,229397.23,-246354.5388,5258906.27,18301.32437,,kt CO2 eq.,
1995,1688372.21,1246158.623,847269.7688,,695593.8462,569706.8014,247432.1898,85759.91023,111444.0679,,235254.3196,-270234.4434,5312058.709,17525.27089,,kt CO2 eq.,
1996,1712777.68,1239323.909,873615.6109,,759936.1921,573886.0272,246648.3711,89897.64732,119279.8921,,250724.3608,-306247.344,5422091.043,15903.25241,,kt CO2 eq.,
1997,1669289.298,1236184.018,884851.7422,,712213.0251,567584.4746,243614.228,94071.50125,129402.829,,262056.4379,-299747.7435,5329628.767,15891.98117,,kt CO2 eq.,
1998,1675087.586,1178137.142,914063.6281,,700632.9981,561652.4804,240153.1132,100919.405,134933.0479,,265318.2217,-310392.4455,5284745.679,15018.73169,,kt CO2 eq.,
1999,1624970.123,1121532.962,932100.5488,,688986.9908,559704.0185,234733.6228,109470.387,129483.3685,,271584.8841,-319576.7847,5175668.11,13639.84438,,kt CO2 eq.,
2000,1641489.385,1140578.428,926942.3491,,666271.2645,552300.8974,231454.7535,115442.1392,136179.8492,,273557.8638,-297002.0986,5171784.058,12746.98052,,kt CO2 eq.,
2001,1679713.677,1107678.384,939986.3397,,713171.4477,546101.6091,227376.7702,113824.1893,141412.4235,,283333.3233,-328173.2138,5225853.538,11825.31079,,kt CO2 eq.,
2002,1694856.895,1084204.099,951333.2606,,683021.263,536942.4566,223463.8235,110793.2132,146477.0031,,281191.0306,-305011.4719,5185522.616,11700.8179,,kt CO2 eq.,
2003,1743780.123,1103340.258,960254.8354,,697858.806,533216.3372,217386.185,115224.9191,148656.6949,,311971.4531,-283914.0583,5268143.698,12307.15424,,kt CO2 eq.,
2004,1724643.56,1111855.904,979644.3987,,695076.0716,534511.8972,208856.293,122972.2726,158212.0513,,325746.6927,-317317.2711,5267827.784,13239.66014,,kt CO2 eq.,
2005,1712688.094,1104391.848,978838.4597,,691136.6725,528097.9083,202009.361,131053.1868,162325.6067,,351686.8368,-308036.1111,5230902.573,13740.23024,,kt CO2 eq.,
2006,1719855.374,1093473.815,985974.6195,,687546.0122,521082.0437,195841.9743,136546.9052,174044.1203,,373252.9888,-316932.3071,5216987.679,13213.84001,,kt CO2 eq.,
2007,1725294.815,1108156.544,995393.1503,,613010.5936,520393.8569,189111.2982,141126.7502,181961.09,,400983.9315,-285901.0295,5164813.906,13453.64822,,kt CO2 eq.,
2008,1651148.794,1054598.91,970708.028,,661020.6318,518223.3854,181139.3255,141760.343,183307.7084,,435468.949,-321802.6322,5049289.407,12450.3328,,kt CO2 eq.,
2009,1521085.897,877769.0779,943225.6985,,645332.5723,510352.1767,175139.4496,131142.5774,164256.5866,,460367.5227,-321599.3114,4684035.755,11130.88277,,kt CO2 eq.,
2010,1547187.561,927264.1322,937607.4382,,686909.601,508170.9224,167817.5503,131712.2322,161436.6281,,509174.9274,-314939.8582,4785807.132,10849.92595,,kt CO2 eq.,
2011,1520570.337,907847.5797,925532.8429,,594963.3978,506959.0898,162055.9579,135415.4168,163103.1372,,498700.0441,-302956.196,4628444.042,10514.83691,,kt CO2 eq.,
2012,1512108.612,874313.2775,895985.3591,,612073.1891,503148.1415,157923.9809,133523.5608,150517.7208,,513401.692,-301246.2881,4565052.229,9499.668769,,kt CO2 eq.,
2013,1434665.215,863762.1494,888747.1453,,616751.4086,506531.4677,151173.0323,134730.8732,142456.0063,,528294.9647,-306776.8562,4470758.496,9128.078259,,kt CO2 eq.,
2014,1347775.735,862469.5769,896142.032,,525657.463,513122.0826,145492.793,136880.3102,139311.161,,520507.4313,-293826.0022,4299411.143,8751.460804,,kt CO2 eq.,
2015,1334052.903,860257.55,913263.6031,,556390.3599,513435.3271,143160.242,141217.9249,138245.3394,,539516.2949,-299109.3104,4329086.6,8526.614693,,kt CO2 eq.,
2016,1283578.882,857770.2918,932470.153,,567325.2462,515474.9486,140108.6519,148008.1646,145121.7153,,554954.5947,-285838.1547,4305107.489,8379.314897,,kt CO2 eq.,
2017,1265539.185,877314.8901,945871.5501,,568899.808,519906.7021,138866.1557,158268.301,145765.34,,566203.583,-258074.4017,4324868.022,8469.731585,,kt CO2 eq.,
,-32,-35,19,,-22,-19,-42,129,32,,182,5,-24,,,Percentage,
